_identifiers-1,_digital_object_type.string_key,_parent_digital_objects-1.identifier,_project.string_key,title-1:title_sort_portion,collection-1:collection_term.value,collection-1:collection_term.uri,name-1:name_term.value,name-1:name_term.name_type,name-1:name_role-1:name_role_term.authority,name-1:name_role-1:name_role_term.uri,name-1:name_role-1:name_role_term.value,name-1:name_term.authority,name-1:name_term.uri,name-2:name_term.value,name-2:name_term.name_type,name-2:name_role-1.name_role_term.value,name-2:name_role-1.name_role_term.authority,name-2:name_role-1.name_role_term.uri,name-2:name_term.authority,name-2:name_term.uri,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created_textual-1:date_created_textual_value,note-1:note_value,note-1:note_type,note-2:note_value,note-2:note_type,note-4:note_value,note-4:note_type,relatedItem_project,projectURL,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,location-1:location_term.value,location-1:location_term.code,location-1:location_term.authority,location-1:location_term.uri,location-1:location_sublocation,location-1:location_shelf_location-1:location_shelf_location_free_text,location-1:location_shelf_location-1:location_shelf_location_box_number,location-1:location_shelf_location-1:location_shelf_location_folder_number,type_of_resource-1:type_of_resource_value,clio_identifier-1:clio_identifier_value,omeka_identifier-1:omeka_identifier_value,object_in_context_url-1:object_in_context_url_value,digital_origin-1:digital_origin_value,use_and_reproduction-1:use_and_reproduction_value,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,subject_geographic-1:subject_geographic_term.value,subject_geographic-1:subject_geographic_term.authority,subject_geographic-1:subject_geographic_term.uri,subject_hierarchical_geographic-1:subject_hierarchical_geographic_city_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_state_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_borough_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_street-1.subject_hierarchical_geographic_street_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_street-2.subject_hierarchical_geographic_street_value
constructionevolutionuts_erb,item,,construction_evolution_uts,#5 Union Theological Seminary C-6851. Laying of the Cornerstone,Union Theological Seminary Records,http://id.library.columbia.edu/term/3c9280a9-f59c-4f2c-91a1-25df006e749e,"Jallade, Louis E. (Louis Eugene), 1876-1957",personal,marcrelator,http://id.loc.gov/vocabulary/relators/ctb,Contributor,naf,http://id.loc.gov/authorities/names/no2004074552,"Andrew J. Robinson Co. Builders, NY",corporate,Photographer,marcrelator,http://id.loc.gov/vocabulary/relators/pht,,,1908-11-17,,,"November 17, 1908",,,,,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,ownership,Construction and Evolution of Union Theological Seminary Campus,http://www.columbia.edu/cgi-bin/cul/resolve?clio11612867,photographs,aat,http://vocab.getty.edu/aat/300046300,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,http://id.loc.gov/authorities/names/n88074978,Union Theological Seminary Archives,Series 18: Photographs,Box 1,Folder 2,still image,,,,reformatted digital,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",Building,fast,http://id.worldcat.org/fast/840551,Cornerstone laying,fast,http://id.worldcat.org/fast/879435,"Union Theological Seminary (New York, N.Y.)",corporate,naf,http://id.loc.gov/authorities/names/n79073878,"Morningside Heights (New York, N.Y.)",naf,http://id.loc.gov/authorities/names/n96068216,,,,,
constructionevolutionuts_erb_000,asset,constructionevolutionuts_erb,construction_evolution_uts,#5 Union Theological Seminary C-6851. Laying of the Cornerstone,,,,,,,,,,,,,,,,,,,,,,,original filename: order1401880002.jpg,filename,,,,,,,,,,,,,,,,,,,,,omeka_9580,https://exhibitions.cul.columbia.edu/exhibits/show/uts/cornerstone,,,,,,,,,, ,,,,,,,,,,
constructionevolutionuts_esu,item,,construction_evolution_uts,Union Theological Seminary C-6899. Administration Bldg.,Union Theological Seminary Records,http://id.library.columbia.edu/term/3c9280a9-f59c-4f2c-91a1-25df006e749e,"Jallade, Louis E. (Louis Eugene), 1876-1957",personal,marcrelator,http://id.loc.gov/vocabulary/relators/ctb,Contributor,naf,http://id.loc.gov/authorities/names/no2004074552,"Andrew J. Robinson Co. Builders, NY",corporate,Photographer,marcrelator,http://id.loc.gov/vocabulary/relators/pht,,,1909-01-02,,,"January 2, 1909",,,,,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,ownership,Construction and Evolution of Union Theological Seminary Campus,http://www.columbia.edu/cgi-bin/cul/resolve?clio11612867,photographs,aat,http://vocab.getty.edu/aat/300046300,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,http://id.loc.gov/authorities/names/n88074978,Union Theological Seminary Archives,Series 18: Photographs,Box 1,Folder 14A,still image,,,,reformatted digital,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",Building,fast,http://id.worldcat.org/fast/840551,,,,"Union Theological Seminary (New York, N.Y.)",corporate,naf,http://id.loc.gov/authorities/names/n79073878,"Morningside Heights (New York, N.Y.)",naf,http://id.loc.gov/authorities/names/n96068216,,,,,
constructionevolutionuts_esu_000,asset,constructionevolutionuts_esu,construction_evolution_uts,Union Theological Seminary C-6899. Administration Bldg.,,,,,,,,,,,,,,,,,,,,,,,original filename: order1401880019.jpg,filename,,,,,,,,,,,,,,,,,,,,,omeka_9597,,,,,,,,,,, ,,,,,,,,,,
constructionevolutionuts_eux,item,,construction_evolution_uts,Union Theological Seminary C-7049. Dormitory,Union Theological Seminary Records,http://id.library.columbia.edu/term/3c9280a9-f59c-4f2c-91a1-25df006e749e,"Jallade, Louis E. (Louis Eugene), 1876-1957",personal,marcrelator,http://id.loc.gov/vocabulary/relators/ctb,Contributor,naf,http://id.loc.gov/authorities/names/no2004074552,"Andrew J. Robinson Co. Builders, NY",corporate,Photographer,marcrelator,http://id.loc.gov/vocabulary/relators/pht,,,1909-05-03,,,"May 3, 1909",,,,,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,ownership,Construction and Evolution of Union Theological Seminary Campus,http://www.columbia.edu/cgi-bin/cul/resolve?clio11612867,photographs,aat,http://vocab.getty.edu/aat/300046300,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,http://id.loc.gov/authorities/names/n88074978,Union Theological Seminary Archives,Series 18: Photographs,Box 2,Folder 29A,still image,,,,reformatted digital,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",Building,fast,http://id.worldcat.org/fast/840551,,,,"Union Theological Seminary (New York, N.Y.)",corporate,naf,http://id.loc.gov/authorities/names/n79073878,"Morningside Heights (New York, N.Y.)",naf,http://id.loc.gov/authorities/names/n96068216,,,,,
constructionevolutionuts_eux_000,asset,constructionevolutionuts_eux,construction_evolution_uts,Union Theological Seminary C-7049. Dormitory,,,,,,,,,,,,,,,,,,,,,,,original filename: order1401880045.jpg,filename,,,,,,,,,,,,,,,,,,,,,omeka_9623,https://exhibitions.cul.columbia.edu/exhibits/show/uts/dorm,,,,,,,,,, ,,,,,,,,,,
constructionevolutionuts_flx,item,,construction_evolution_uts,Union Theological Seminary C-7308. Professors' Suites,Union Theological Seminary Records,http://id.library.columbia.edu/term/3c9280a9-f59c-4f2c-91a1-25df006e749e,"Jallade, Louis E. (Louis Eugene), 1876-1957",personal,marcrelator,http://id.loc.gov/vocabulary/relators/ctb,Contributor,naf,http://id.loc.gov/authorities/names/no2004074552,"Andrew J. Robinson Co. Builders, NY",corporate,Photographer,marcrelator,http://id.loc.gov/vocabulary/relators/pht,,,1909,,,1909,"Stamp in lower left hand corner: Louis E. Jallade, Architect and Engineer, 129 Lexington Ave., New York",,,,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,ownership,Construction and Evolution of Union Theological Seminary Campus,http://www.columbia.edu/cgi-bin/cul/resolve?clio11612867,photographs,aat,http://vocab.getty.edu/aat/300046300,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,http://id.loc.gov/authorities/names/n88074978,Union Theological Seminary Archives,Series 18: Photographs,Box 2,Folder 43,still image,,,,reformatted digital,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",Building,fast,http://id.worldcat.org/fast/840551,,,,"Union Theological Seminary (New York, N.Y.)",corporate,naf,http://id.loc.gov/authorities/names/n79073878,"Morningside Heights (New York, N.Y.)",naf,http://id.loc.gov/authorities/names/n96068216,,,,,
constructionevolutionuts_flx_000,asset,constructionevolutionuts_flx,construction_evolution_uts,Union Theological Seminary C-7308. Professors' Suites,,,,,,,,,,,,,,,,,,,,,,,original filename: order1401880069.jpg,filename,,,,,,,,,,,,,,,,,,,,,omeka_9647,https://exhibitions.cul.columbia.edu/exhibits/show/uts/professors,,,,,,,,,, ,,,,,,,,,,
constructionevolutionuts_gcp,item,,construction_evolution_uts,Union Theological Seminary C-7075. Library,Union Theological Seminary Records,http://id.library.columbia.edu/term/3c9280a9-f59c-4f2c-91a1-25df006e749e,"Jallade, Louis E. (Louis Eugene), 1876-1957",personal,marcrelator,http://id.loc.gov/vocabulary/relators/ctb,Contributor,naf,http://id.loc.gov/authorities/names/no2004074552,"Andrew J. Robinson Co. Builders, NY",corporate,Photographer,marcrelator,http://id.loc.gov/vocabulary/relators/pht,,,1909-06-01,,,"June 1, 1909",,,,,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,ownership,Construction and Evolution of Union Theological Seminary Campus,http://www.columbia.edu/cgi-bin/cul/resolve?clio11612867,photographs,aat,http://vocab.getty.edu/aat/300046300,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,http://id.loc.gov/authorities/names/n88074978,Union Theological Seminary Archives,Series 18: Photographs,Box 2,Folder 39A,still image,,,,reformatted digital,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",Building,fast,http://id.worldcat.org/fast/840551,Academic libraries,fast,http://id.worldcat.org/fast/794997,"Union Theological Seminary (New York, N.Y.)",corporate,naf,http://id.loc.gov/authorities/names/n79073878,"Morningside Heights (New York, N.Y.)",naf,http://id.loc.gov/authorities/names/n96068216,,,,,
constructionevolutionuts_gcp_000,asset,constructionevolutionuts_gcp,construction_evolution_uts,Union Theological Seminary C-7075. Library,,,,,,,,,,,,,,,,,,,,,,,original filename: order1401880063.jpg,filename,,,,,,,,,,,,,,,,,,,,,omeka_9641,https://exhibitions.cul.columbia.edu/exhibits/show/uts/library/libfront,,,,,,,,,, ,,,,,,,,,,
constructionevolutionuts_gmn,item,,construction_evolution_uts,Union Theological Seminary C-7046. Administration Bldg.,Union Theological Seminary Records,http://id.library.columbia.edu/term/3c9280a9-f59c-4f2c-91a1-25df006e749e,"Jallade, Louis E. (Louis Eugene), 1876-1957",personal,marcrelator,http://id.loc.gov/vocabulary/relators/ctb,Contributor,naf,http://id.loc.gov/authorities/names/no2004074552,"Andrew J. Robinson Co. Builders, NY",corporate,Photographer,marcrelator,http://id.loc.gov/vocabulary/relators/pht,,,1909-05-03,,,"May 3, 1909",,,,,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,ownership,Construction and Evolution of Union Theological Seminary Campus,http://www.columbia.edu/cgi-bin/cul/resolve?clio11612867,photographs,aat,http://vocab.getty.edu/aat/300046300,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,http://id.loc.gov/authorities/names/n88074978,Union Theological Seminary Archives,Series 18: Photographs,Box 1,Folder 18A,still image,,,,reformatted digital,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",Building,fast,http://id.worldcat.org/fast/840551,,,,"Union Theological Seminary (New York, N.Y.)",corporate,naf,http://id.loc.gov/authorities/names/n79073878,"Morningside Heights (New York, N.Y.)",naf,http://id.loc.gov/authorities/names/n96068216,,,,,
constructionevolutionuts_gmn_000,asset,constructionevolutionuts_gmn,construction_evolution_uts,Union Theological Seminary C-7046. Administration Bldg.,,,,,,,,,,,,,,,,,,,,,,,original filename: order1401880027.jpg,filename,,,,,,,,,,,,,,,,,,,,,omeka_9605,,,,,,,,,,, ,,,,,,,,,,
constructionevolutionuts_gwj,item,,construction_evolution_uts,"Union Theological Seminary, Broadway and 122nd St. C-6971. Dormitory",Union Theological Seminary Records,http://id.library.columbia.edu/term/3c9280a9-f59c-4f2c-91a1-25df006e749e,"Jallade, Louis E. (Louis Eugene), 1876-1957",personal,marcrelator,http://id.loc.gov/vocabulary/relators/ctb,Contributor,naf,http://id.loc.gov/authorities/names/no2004074552,"Andrew J. Robinson Co. Builders, NY",corporate,Photographer,marcrelator,http://id.loc.gov/vocabulary/relators/pht,,,1909-03-01,,,"March 1, 1909",,,,,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,ownership,Construction and Evolution of Union Theological Seminary Campus,http://www.columbia.edu/cgi-bin/cul/resolve?clio11612867,photographs,aat,http://vocab.getty.edu/aat/300046300,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,http://id.loc.gov/authorities/names/n88074978,Union Theological Seminary Archives,Series 18: Photographs,Box 2,Folder 27A,still image,,,,reformatted digital,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",Building,fast,http://id.worldcat.org/fast/840551,,,,"Union Theological Seminary (New York, N.Y.)",corporate,naf,http://id.loc.gov/authorities/names/n79073878,"Morningside Heights (New York, N.Y.)",naf,http://id.loc.gov/authorities/names/n96068216,New York,New York,Manhattan,Broadway,122nd Street
constructionevolutionuts_gwj_000,asset,constructionevolutionuts_gwj,construction_evolution_uts,"Union Theological Seminary, Broadway and 122nd St. C-6971. Dormitory",,,,,,,,,,,,,,,,,,,,,,,original filename: order1401880042.jpg,filename,,,,,,,,,,,,,,,,,,,,,omeka_9620,https://exhibitions.cul.columbia.edu/exhibits/show/uts/dorm,,,,,,,,,, ,,,,,,,,,,
constructionevolutionuts_gwu,item,,construction_evolution_uts,Union Theological Seminary C-6867. Library (looking east),Union Theological Seminary Records,http://id.library.columbia.edu/term/3c9280a9-f59c-4f2c-91a1-25df006e749e,"Jallade, Louis E. (Louis Eugene), 1876-1957",personal,marcrelator,http://id.loc.gov/vocabulary/relators/ctb,Contributor,naf,http://id.loc.gov/authorities/names/no2004074552,"Andrew J. Robinson Co. Builders, NY",corporate,Photographer,marcrelator,http://id.loc.gov/vocabulary/relators/pht,,,1908-12-01,,,"December 1, 1908",,,,,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,ownership,Construction and Evolution of Union Theological Seminary Campus,http://www.columbia.edu/cgi-bin/cul/resolve?clio11612867,photographs,aat,http://vocab.getty.edu/aat/300046300,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,http://id.loc.gov/authorities/names/n88074978,Union Theological Seminary Archives,Series 18: Photographs,Box 2,Folder 33A,still image,,,,reformatted digital,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",Building,fast,http://id.worldcat.org/fast/840551,Academic libraries,fast,http://id.worldcat.org/fast/794997,"Union Theological Seminary (New York, N.Y.)",corporate,naf,http://id.loc.gov/authorities/names/n79073878,"Morningside Heights (New York, N.Y.)",naf,http://id.loc.gov/authorities/names/n96068216,,,,,
constructionevolutionuts_gwu_000,asset,constructionevolutionuts_gwu,construction_evolution_uts,Union Theological Seminary C-6867. Library (looking east),,,,,,,,,,,,,,,,,,,,,,,original filename: order1401880052.jpg,filename,,,,,,,,,,,,,,,,,,,,,omeka_9630,,,,,,,,,,, ,,,,,,,,,,
constructionevolutionuts_hgw,item,,construction_evolution_uts,Original Campus,Union Theological Seminary Records,http://id.library.columbia.edu/term/3c9280a9-f59c-4f2c-91a1-25df006e749e,"Jallade, Louis E. (Louis Eugene), 1876-1957",personal,marcrelator,http://id.loc.gov/vocabulary/relators/ctb,Contributor,naf,http://id.loc.gov/authorities/names/no2004074552,"Andrew J. Robinson Co. Builders, NY",corporate,Photographer,marcrelator,http://id.loc.gov/vocabulary/relators/pht,,,1908,,approximate,circa 1908,,,,,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,ownership,Construction and Evolution of Union Theological Seminary Campus,http://www.columbia.edu/cgi-bin/cul/resolve?clio11612867,photographs,aat,http://vocab.getty.edu/aat/300046300,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,http://id.loc.gov/authorities/names/n88074978,Union Theological Seminary Archives,Series 18: Photographs,Box 1,Folder 1,still image,,,,reformatted digital,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",Building,fast,http://id.worldcat.org/fast/840551,,,,"Union Theological Seminary (New York, N.Y.)",corporate,naf,http://id.loc.gov/authorities/names/n79073878,"Morningside Heights (New York, N.Y.)",naf,http://id.loc.gov/authorities/names/n96068216,,,,,
constructionevolutionuts_hgw_000,asset,constructionevolutionuts_hgw,construction_evolution_uts,Original Campus,,,,,,,,,,,,,,,,,,,,,,,original filename: order1401880001.jpg,filename,,,,,,,,,,,,,,,,,,,,,omeka_9579,https://exhibitions.cul.columbia.edu/exhibits/show/uts/history,,,,,,,,,, ,,,,,,,,,,
constructionevolutionuts_hht,item,,construction_evolution_uts,Union Theological Seminary C-6899. Administration Bldg.,Union Theological Seminary Records,http://id.library.columbia.edu/term/3c9280a9-f59c-4f2c-91a1-25df006e749e,"Jallade, Louis E. (Louis Eugene), 1876-1957",personal,marcrelator,http://id.loc.gov/vocabulary/relators/ctb,Contributor,naf,http://id.loc.gov/authorities/names/no2004074552,"Andrew J. Robinson Co. Builders, NY",corporate,Photographer,marcrelator,http://id.loc.gov/vocabulary/relators/pht,,,1909-01-02,,,"January 2, 1909",,,,,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,ownership,Construction and Evolution of Union Theological Seminary Campus,http://www.columbia.edu/cgi-bin/cul/resolve?clio11612867,photographs,aat,http://vocab.getty.edu/aat/300046300,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,http://id.loc.gov/authorities/names/n88074978,Union Theological Seminary Archives,Series 18: Photographs,Box 1,Folder 14B,still image,,,,reformatted digital,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",Building,fast,http://id.worldcat.org/fast/840551,,,,"Union Theological Seminary (New York, N.Y.)",corporate,naf,http://id.loc.gov/authorities/names/n79073878,"Morningside Heights (New York, N.Y.)",naf,http://id.loc.gov/authorities/names/n96068216,,,,,
constructionevolutionuts_hht_000,asset,constructionevolutionuts_hht,construction_evolution_uts,Union Theological Seminary C-6899. Administration Bldg.,,,,,,,,,,,,,,,,,,,,,,,original filename: order1401880020.jpg,filename,,,,,,,,,,,,,,,,,,,,,omeka_9598,https://exhibitions.cul.columbia.edu/exhibits/show/uts,,,,,,,,,, ,,,,,,,,,,
constructionevolutionuts_hja,item,,construction_evolution_uts,Union Theological Seminary 122nd St and Clermont Ave. C-7384,Union Theological Seminary Records,http://id.library.columbia.edu/term/3c9280a9-f59c-4f2c-91a1-25df006e749e,"Jallade, Louis E. (Louis Eugene), 1876-1957",personal,marcrelator,http://id.loc.gov/vocabulary/relators/ctb,Contributor,naf,http://id.loc.gov/authorities/names/no2004074552,"Andrew J. Robinson Co. Builders, NY",corporate,Photographer,marcrelator,http://id.loc.gov/vocabulary/relators/pht,,,1909-11-01,,,"November 1, 1909","Stamp in lower left hand corner: Louis E. Jallade, Architect and Engineer, 129 Lexington Ave., New York",,,,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,ownership,Construction and Evolution of Union Theological Seminary Campus,http://www.columbia.edu/cgi-bin/cul/resolve?clio11612867,photographs,aat,http://vocab.getty.edu/aat/300046300,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,http://id.loc.gov/authorities/names/n88074978,Union Theological Seminary Archives,Series 18: Photographs,Box 2,Folder 44,still image,,,,reformatted digital,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",Building,fast,http://id.worldcat.org/fast/840551,,,,"Union Theological Seminary (New York, N.Y.)",corporate,naf,http://id.loc.gov/authorities/names/n79073878,"Morningside Heights (New York, N.Y.)",naf,http://id.loc.gov/authorities/names/n96068216,New York,New York,Manhattan,Claremont Avenue,122nd Street
constructionevolutionuts_hja_000,asset,constructionevolutionuts_hja,construction_evolution_uts,Union Theological Seminary 122nd St and Clermont Ave. C-7384,,,,,,,,,,,,,,,,,,,,,,,original filename: order1401880070.jpg,filename,,,,,,,,,,,,,,,,,,,,,omeka_9648,https://exhibitions.cul.columbia.edu/exhibits/show/uts/professors,,,,,,,,,, ,,,,,,,,,,
constructionevolutionuts_hlu,item,,construction_evolution_uts,Union Theological Seminary. Administration Building,Union Theological Seminary Records,http://id.library.columbia.edu/term/3c9280a9-f59c-4f2c-91a1-25df006e749e,"Jallade, Louis E. (Louis Eugene), 1876-1957",personal,marcrelator,http://id.loc.gov/vocabulary/relators/ctb,Contributor,naf,http://id.loc.gov/authorities/names/no2004074552,"Andrew J. Robinson Co. Builders, NY",corporate,Photographer,marcrelator,http://id.loc.gov/vocabulary/relators/pht,,,1909,,,1909,"Stamp in lower left hand corner: Louis E. Jallade, Architect and Engineer, 129 Lexington Ave., New York",,,,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,ownership,Construction and Evolution of Union Theological Seminary Campus,http://www.columbia.edu/cgi-bin/cul/resolve?clio11612867,photographs,aat,http://vocab.getty.edu/aat/300046300,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,http://id.loc.gov/authorities/names/n88074978,Union Theological Seminary Archives,Series 18: Photographs,Box 1,Folder 21,still image,,,,reformatted digital,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",Building,fast,http://id.worldcat.org/fast/840551,,,,"Union Theological Seminary (New York, N.Y.)",corporate,naf,http://id.loc.gov/authorities/names/n79073878,"Morningside Heights (New York, N.Y.)",naf,http://id.loc.gov/authorities/names/n96068216,,,,,
constructionevolutionuts_hlu_000,asset,constructionevolutionuts_hlu,construction_evolution_uts,Union Theological Seminary. Administration Building,,,,,,,,,,,,,,,,,,,,,,,original filename: order1401880032.jpg,filename,,,,,,,,,,,,,,,,,,,,,omeka_9610,https://exhibitions.cul.columbia.edu/exhibits/show/uts,,,,,,,,,, ,,,,,,,,,,
constructionevolutionuts_hmw,item,,construction_evolution_uts,Union Theological Seminary C-6818. 120th St. and Broadway. Administration Bldg. (Looking west toward Claremont Ave),Union Theological Seminary Records,http://id.library.columbia.edu/term/3c9280a9-f59c-4f2c-91a1-25df006e749e,"Jallade, Louis E. (Louis Eugene), 1876-1957",personal,marcrelator,http://id.loc.gov/vocabulary/relators/ctb,Contributor,naf,http://id.loc.gov/authorities/names/no2004074552,"Andrew J. Robinson Co. Builders, NY",corporate,Photographer,marcrelator,http://id.loc.gov/vocabulary/relators/pht,,,1908-11-04,,,"November 4, 1908",,,,,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,ownership,Construction and Evolution of Union Theological Seminary Campus,http://www.columbia.edu/cgi-bin/cul/resolve?clio11612867,photographs,aat,http://vocab.getty.edu/aat/300046300,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,http://id.loc.gov/authorities/names/n88074978,Union Theological Seminary Archives,Series 18: Photographs,Box 1,Folder 12A,still image,,,,reformatted digital,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",Building,fast,http://id.worldcat.org/fast/840551,,,,"Union Theological Seminary (New York, N.Y.)",corporate,naf,http://id.loc.gov/authorities/names/n79073878,"Morningside Heights (New York, N.Y.)",naf,http://id.loc.gov/authorities/names/n96068216,New York,New York,Manhattan,Broadway,120th Street
constructionevolutionuts_hmw_000,asset,constructionevolutionuts_hmw,construction_evolution_uts,Union Theological Seminary C-6818. 120th St. and Broadway. Administration Bldg. (Looking west toward Claremont Ave),,,,,,,,,,,,,,,,,,,,,,,original filename: order1401880015.jpg,filename,,,,,,,,,,,,,,,,,,,,,omeka_9593,,,,,,,,,,, ,,,,,,,,,,
